epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,405.605,0.37303,0.21815,0.26914,0.87137,0.98017,1,0.995,0.97139,0.98017,1,0.995,0.90373,0.33153,0.11371,0.28728,0.76305,0.0007724,0.0007724,0.0007724
33,418.925,0.38526,0.22891,0.27246,0.87709,0.99857,1,0.995,0.97668,0.99857,1,0.995,0.90149,0.2669,0.09751,0.19072,0.72868,0.0007328,0.0007328,0.0007328
34,432.593,0.37946,0.24006,0.26889,0.87189,0.99849,1,0.995,0.96736,0.99849,1,0.995,0.91461,0.31283,0.08288,0.22675,0.76167,0.0006932,0.0006932,0.0006932
35,446.512,0.36942,0.21639,0.26173,0.87081,0.99853,1,0.995,0.98259,0.99853,1,0.995,0.93188,0.26212,0.12771,0.19049,0.74915,0.0006536,0.0006536,0.0006536
36,460.525,0.3716,0.22045,0.26182,0.87338,0.99858,1,0.995,0.97608,0.99858,1,0.995,0.93007,0.23157,0.06574,0.18191,0.72716,0.000614,0.000614,0.000614
37,474.216,0.36801,0.23031,0.25794,0.87614,0.99853,1,0.995,0.98338,0.99853,1,0.995,0.92487,0.25449,0.081,0.19111,0.72358,0.0005744,0.0005744,0.0005744
38,487.735,0.36561,0.2498,0.2521,0.87609,0.99852,1,0.995,0.97686,0.99852,1,0.995,0.90916,0.2428,0.09638,0.19991,0.73499,0.0005348,0.0005348,0.0005348
39,500.619,0.35283,0.23194,0.25019,0.87248,0.99858,1,0.995,0.97829,0.99858,1,0.995,0.9218,0.28164,0.06841,0.20365,0.7229,0.0004952,0.0004952,0.0004952
40,513.561,0.33724,0.20975,0.23774,0.86818,0.9986,1,0.995,0.98648,0.9986,1,0.995,0.94429,0.24711,0.07758,0.1915,0.73877,0.0004556,0.0004556,0.0004556
41,544.171,0.27874,0.17649,0.24213,0.86114,0.99851,1,0.995,0.99308,0.99851,1,0.995,0.91538,0.25481,0.08733,0.20214,0.73121,0.000416,0.000416,0.000416
42,557.113,0.26879,0.15807,0.2058,0.84619,0.99853,1,0.995,0.98954,0.99853,1,0.995,0.92548,0.2656,0.06533,0.2318,0.73461,0.0003764,0.0003764,0.0003764
43,569.47,0.26196,0.18824,0.1998,0.85078,0.99855,1,0.995,0.97353,0.99855,1,0.995,0.91976,0.28053,0.1574,0.20882,0.73214,0.0003368,0.0003368,0.0003368
44,581.388,0.26891,0.18138,0.197,0.86263,0.99856,1,0.995,0.9734,0.99856,1,0.995,0.91222,0.26905,0.09268,0.20123,0.7408,0.0002972,0.0002972,0.0002972
45,593.779,0.24832,0.16631,0.18556,0.8476,0.99837,1,0.995,0.987,0.99837,1,0.995,0.91946,0.25371,0.11054,0.18285,0.74934,0.0002576,0.0002576,0.0002576
46,606.101,0.23292,0.17106,0.17762,0.84531,0.99824,1,0.995,0.98972,0.99824,1,0.995,0.91658,0.24739,0.15349,0.18756,0.72176,0.000218,0.000218,0.000218
47,618.407,0.23278,0.16439,0.17515,0.84212,0.99857,1,0.995,0.99273,0.99857,1,0.995,0.94196,0.19877,0.13134,0.1477,0.70608,0.0001784,0.0001784,0.0001784
48,630.739,0.21614,0.16764,0.16784,0.84664,0.99856,1,0.995,0.9881,0.99856,1,0.995,0.92024,0.22263,0.14002,0.15336,0.70849,0.0001388,0.0001388,0.0001388
49,643.06,0.22071,0.16076,0.16424,0.83369,0.99858,1,0.995,0.99337,0.99858,1,0.995,0.95923,0.20665,0.12047,0.15711,0.71039,9.92e-05,9.92e-05,9.92e-05
50,655.495,0.20188,0.15539,0.15442,0.83314,0.99859,1,0.995,0.99115,0.99859,1,0.995,0.93305,0.22349,0.11525,0.15062,0.71079,5.96e-05,5.96e-05,5.96e-05
